account_id,customer_id,placement_date,placed_balance,original_balance,product_type,risk_band,customer_age,age_band,income_band,employment_status,state,region,customer_segment,digital_consent,hardship_flag,dispute_flag,prior_successful_payments_12m,credit_score_band,tenure_months,assigned_agency,treatment_stream
A000001,C000109,2025-09-23,369.9,602.47,bnpl,A,42,35_44,40k_70k,full_time,QLD,regional,standard,0,0,0,2,720_plus,4,agency_alpha,hardship_review
A000002,C001551,2026-04-10,1162.89,1079.67,bnpl,C,27,25_34,150k_plus,full_time,NSW,regional,digital_engaged,1,0,0,0,600_659,21,agency_alpha,digital_first
A000003,C002496,2025-07-18,1555.75,1349.9,credit_card,A,31,25_34,under_40k,full_time,VIC,regional,standard,0,0,0,4,720_plus,69,agency_beta,sms_email_sequence
A000004,C002634,2025-10-09,878.34,832.89,utility_arrears,D,37,35_44,under_40k,full_time,NSW,metro,digital_engaged,1,0,0,1,540_599,14,agency_gamma,phone_first
A000005,C001030,2024-11-28,403.28,432.34,telco_arrears,B,48,45_54,70k_100k,part_time,SA,remote,digital_engaged,1,0,0,5,660_719,65,internal_collections,phone_first
A000006,C002618,2025-10-07,2094.38,3801.05,credit_card,B,25,25_34,70k_100k,full_time,QLD,metro,dispute_prone,0,0,1,0,660_719,28,agency_beta,digital_first
A000007,C000526,2025-07-18,2107.28,2065.05,credit_card,A,80,65_plus,100k_150k,retired,WA,metro,standard,0,0,0,4,720_plus,87,internal_collections,sms_email_sequence
A000008,C002411,2026-02-03,253.6,504.13,bnpl,C,32,25_34,40k_70k,casual,SA,regional,standard,0,0,0,4,600_659,41,agency_beta,digital_first
A000009,C002987,2026-04-21,1272.25,1645.91,personal_loan,C,26,25_34,100k_150k,self_employed,NSW,unknown,digital_engaged,1,0,0,2,600_659,14,agency_alpha,digital_first
A000010,C000061,2024-11-25,6748.39,12805.87,personal_loan,C,59,55_64,40k_70k,full_time,SA,regional,standard,0,0,0,2,600_659,59,agency_alpha,phone_first
A000011,C002373,2025-05-02,328.81,470.11,telco_arrears,B,54,45_54,40k_70k,self_employed,NSW,regional,dispute_prone,0,0,1,2,660_719,15,internal_collections,digital_first
A000012,C002391,2025-09-11,207.57,226.96,telco_arrears,A,31,25_34,70k_100k,full_time,QLD,regional,digital_engaged,1,0,0,3,720_plus,60,agency_gamma,digital_first
A000013,C002506,2024-11-26,2127.9,1766.85,credit_card,D,46,45_54,40k_70k,full_time,UNKNOWN,regional,dispute_prone,0,1,1,2,540_599,45,agency_gamma,standard
A000014,C002002,2026-01-28,2636.37,2848.04,credit_card,A,29,25_34,70k_100k,full_time,VIC,metro,standard,1,0,0,4,720_plus,43,agency_alpha,standard
A000015,C000172,2026-01-26,863.27,924.72,credit_card,C,36,35_44,70k_100k,self_employed,VIC,remote,hardship,1,1,1,1,600_659,17,agency_gamma,phone_first
A000016,C003205,2025-01-26,2082.39,3180.86,personal_loan,D,53,45_54,70k_100k,unknown,SA,regional,digital_engaged,0,0,0,3,540_599,66,agency_beta,digital_first
A000017,C001439,2025-07-13,2529.67,4844.74,personal_loan,B,23,18_24,40k_70k,student,WA,regional,hardship,0,1,0,5,660_719,35,internal_collections,digital_first
A000018,C003040,2025-05-07,5974.62,4882.56,personal_loan,E,41,35_44,70k_100k,full_time,NSW,metro,low_contactability,0,0,0,0,under_540,54,internal_collections,sms_email_sequence
A000019,C001176,2026-02-26,2260.77,2524.9,credit_card,B,18,18_24,40k_70k,full_time,NSW,metro,digital_engaged,1,0,0,4,660_719,23,agency_beta,standard
