contact_id,account_id,contact_date,contact_channel,contact_result,agent_id,promised_payment_date
K00000001,A000001,2025-09-29,field_visit,no_answer,AG038,
K00000002,A000001,2025-09-30,sms,promise_to_pay,AG025,2025-10-03
K00000006,A000001,2025-10-22,sms,delivered,AG045,
K00000005,A000001,2025-10-30,email,no_answer,AG009,
K00000004,A000001,2025-11-12,phone,promise_to_pay,AG045,2025-11-17
K00000003,A000001,2025-11-25,phone,promise_to_pay,AG033,2025-12-05
K00000007,A000002,2026-04-17,sms,wrong_number,AG022,
K00000010,A000003,2025-07-26,letter,right_party_contact,AG022,
K00000011,A000003,2025-08-23,letter,wrong_number,AG001,
K00000009,A000003,2025-10-22,email,delivered,AG036,
K00000008,A000003,2025-10-26,sms,delivered,AG009,
K00000012,A000004,2025-10-26,email,delivered,AG006,
K00000013,A000004,2026-01-19,email,delivered,AG017,
K00000014,A000004,2026-01-20,sms,promise_to_pay,AG028,2026-01-30
K00000016,A000005,2024-12-29,sms,hardship_discussed,AG044,
K00000017,A000005,2024-12-31,sms,delivered,AG025,
K00000019,A000005,2025-01-01,phone,no_answer,AG034,
K00000018,A000005,2025-02-14,phone,no_answer,AG021,
K00000015,A000005,2025-03-15,sms,delivered,AG016,
K00000022,A000006,2025-11-29,sms,delivered,AG032,
K00000021,A000006,2025-12-08,sms,hardship_discussed,AG041,
K00000023,A000006,2025-12-09,phone,delivered,AG022,
K00000020,A000006,2026-01-11,email,delivered,AG008,
K00000025,A000007,2025-08-11,email,delivered,AG006,
K00000024,A000007,2025-10-20,letter,hardship_discussed,AG018,
K00000028,A000008,2026-02-19,letter,wrong_number,AG019,
K00000026,A000008,2026-02-25,phone,no_answer,AG019,
K00000027,A000008,2026-04-20,letter,delivered,AG028,
K00000030,A000009,2026-04-26,sms,delivered,AG037,
K00000029,A000009,2026-04-29,phone,wrong_number,AG034,
K00000031,A000010,2025-01-24,email,no_answer,AG027,
K00000032,A000011,2025-05-04,letter,delivered,AG035,
K00000033,A000011,2025-05-12,phone,no_answer,AG007,
K00000036,A000012,2025-09-23,sms,delivered,AG027,
K00000035,A000012,2025-09-28,email,right_party_contact,AG006,
K00000037,A000012,2025-09-29,letter,delivered,AG010,
K00000034,A000012,2025-10-20,sms,delivered,AG001,
K00000038,A000013,2024-11-29,email,delivered,AG036,
K00000040,A000014,2026-01-29,letter,promise_to_pay,AG045,2026-02-03
K00000041,A000014,2026-01-29,sms,right_party_contact,AG016,
K00000039,A000014,2026-03-02,phone,delivered,AG017,
K00000042,A000015,2026-02-10,sms,no_answer,AG036,
K00000043,A000015,2026-02-11,email,hardship_discussed,AG035,
K00000044,A000015,2026-03-01,sms,dispute_raised,AG043,
K00000045,A000016,2025-02-08,letter,wrong_number,AG011,
K00000046,A000017,2025-07-23,letter,hardship_discussed,AG005,
K00000047,A000018,2025-05-14,email,hardship_discussed,AG019,
K00000049,A000018,2025-06-24,phone,no_answer,AG020,
K00000048,A000018,2025-07-10,sms,no_answer,AG013,
K00000050,A000018,2025-08-09,email,hardship_discussed,AG026,
K00000053,A000021,2025-10-13,email,no_answer,AG034,
K00000051,A000021,2025-10-25,sms,wrong_number,AG007,
K00000052,A000021,2025-11-11,email,no_answer,AG017,
K00000054,A000022,2025-10-29,email,delivered,AG045,
K00000055,A000023,2025-04-23,phone,delivered,AG016,
K00000059,A000024,2026-02-16,email,right_party_contact,AG031,
K00000056,A000024,2026-03-10,phone,delivered,AG037,
K00000057,A000024,2026-03-19,phone,no_answer,AG009,
K00000058,A000024,2026-04-24,phone,right_party_contact,AG038,
K00000062,A000025,2024-11-12,sms,right_party_contact,AG025,
K00000061,A000025,2024-12-05,phone,delivered,AG024,
K00000063,A000025,2024-12-29,sms,no_answer,AG033,
K00000060,A000025,2025-05-21,sms,wrong_number,AG014,
K00000065,A000026,2026-04-06,email,no_answer,AG042,
K00000064,A000026,2026-04-21,email,no_answer,AG002,
K00000069,A000027,2025-10-14,phone,no_answer,AG015,
K00000067,A000027,2025-10-24,email,wrong_number,AG041,
K00000068,A000027,2025-10-30,sms,delivered,AG038,
K00000066,A000027,2025-12-01,email,wrong_number,AG002,
K00000072,A000028,2025-03-27,sms,hardship_discussed,AG001,
K00000070,A000028,2025-05-02,sms,delivered,AG014,
K00000071,A000028,2025-05-07,sms,right_party_contact,AG037,
K00000073,A000029,2025-06-20,email,no_answer,AG043,
K00000074,A000029,2025-07-03,letter,no_answer,AG040,
K00000076,A000030,2026-02-11,sms,right_party_contact,AG015,
K00000075,A000030,2026-03-17,field_visit,right_party_contact,AG005,
K00000078,A000030,2026-03-21,sms,promise_to_pay,AG005,2026-03-28
K00000077,A000030,2026-04-04,letter,no_answer,AG027,
K00000079,A000031,2026-02-09,email,right_party_contact,AG014,
K00000080,A000031,2026-03-06,sms,dispute_raised,AG010,
K00000082,A000032,2025-05-08,email,delivered,AG031,
K00000081,A000032,2025-07-29,email,delivered,AG043,
K00000083,A000033,2026-01-18,email,wrong_number,AG010,
K00000084,A000035,2025-08-30,phone,hardship_discussed,AG029,
K00000086,A000035,2025-09-06,sms,delivered,AG026,
K00000085,A000035,2026-01-03,sms,right_party_contact,AG015,
K00000087,A000036,2025-10-18,sms,hardship_discussed,AG031,
K00000088,A000036,2025-11-12,sms,delivered,AG036,
K00000089,A000037,2025-10-07,sms,no_answer,AG022,
K00000093,A000037,2025-10-27,phone,wrong_number,AG016,
K00000091,A000037,2025-10-31,phone,no_answer,AG035,
K00000092,A000037,2025-11-20,sms,no_answer,AG033,
K00000090,A000037,2026-01-11,letter,delivered,AG010,
K00000094,A000037,2026-03-02,sms,no_answer,AG030,
K00000096,A000038,2026-02-10,sms,promise_to_pay,AG025,2026-02-13
K00000095,A000038,2026-04-10,email,delivered,AG039,
K00000097,A000039,2025-09-30,sms,promise_to_pay,AG008,2025-10-03
K00000099,A000039,2025-10-14,letter,delivered,AG019,
K00000098,A000039,2025-12-19,phone,delivered,AG042,
K00000103,A000040,2025-10-21,phone,promise_to_pay,AG021,2025-10-28
K00000102,A000040,2025-10-29,sms,dispute_raised,AG021,
K00000101,A000040,2025-12-22,phone,dispute_raised,AG041,
K00000100,A000040,2026-01-04,letter,wrong_number,AG041,
K00000105,A000042,2025-09-19,email,promise_to_pay,AG005,2025-09-29
K00000106,A000042,2025-10-05,sms,right_party_contact,AG006,
K00000104,A000042,2025-10-09,email,no_answer,AG001,
K00000107,A000043,2025-07-25,phone,hardship_discussed,AG009,
K00000110,A000043,2025-08-09,phone,delivered,AG027,
K00000108,A000043,2025-08-11,email,delivered,AG016,
K00000109,A000043,2025-09-05,letter,hardship_discussed,AG021,
K00000111,A000043,2025-09-20,phone,wrong_number,AG024,
K00000115,A000044,2025-01-28,sms,no_answer,AG004,
K00000112,A000044,2025-02-09,sms,wrong_number,AG026,
K00000114,A000044,2025-02-14,sms,right_party_contact,AG023,
K00000113,A000044,2025-03-18,field_visit,no_answer,AG008,
K00000116,A000045,2025-02-21,sms,no_answer,AG017,
K00000118,A000046,2025-03-30,sms,right_party_contact,AG037,
K00000117,A000046,2025-04-23,sms,wrong_number,AG011,
K00000119,A000047,2026-02-09,letter,no_answer,AG034,
K00000120,A000047,2026-02-18,email,promise_to_pay,AG023,2026-02-28
K00000121,A000047,2026-02-22,email,hardship_discussed,AG020,
K00000122,A000048,2026-03-16,email,no_answer,AG014,
K00000126,A000049,2025-04-22,field_visit,dispute_raised,AG023,
K00000125,A000049,2025-05-07,letter,hardship_discussed,AG001,
K00000124,A000049,2025-05-11,phone,promise_to_pay,AG009,2025-05-21
K00000123,A000049,2025-06-19,email,promise_to_pay,AG024,2025-06-22
K00000127,A000050,2025-04-15,email,no_answer,AG027,
K00000128,A000050,2025-04-18,sms,wrong_number,AG006,
K00000129,A000050,2025-06-01,sms,wrong_number,AG009,
K00000130,A000051,2026-04-25,sms,right_party_contact,AG015,
K00000131,A000051,2026-04-29,sms,wrong_number,AG011,
K00000133,A000052,2025-07-26,email,delivered,AG029,
K00000132,A000052,2025-08-06,sms,dispute_raised,AG041,
K00000134,A000052,2025-09-06,sms,delivered,AG044,
K00000138,A000054,2025-12-19,email,delivered,AG030,
K00000135,A000054,2026-01-15,phone,delivered,AG017,
K00000137,A000054,2026-01-26,email,wrong_number,AG024,
K00000140,A000054,2026-01-31,phone,delivered,AG011,
K00000139,A000054,2026-02-20,phone,no_answer,AG036,
K00000136,A000054,2026-03-21,sms,no_answer,AG020,
K00000144,A000056,2025-11-20,sms,wrong_number,AG036,
K00000141,A000056,2025-11-29,email,delivered,AG029,
K00000143,A000056,2025-12-04,email,promise_to_pay,AG044,2025-12-18
K00000142,A000056,2026-01-01,sms,no_answer,AG030,
K00000145,A000058,2026-03-09,email,delivered,AG041,
K00000146,A000058,2026-03-18,sms,delivered,AG014,
K00000149,A000059,2025-05-14,email,right_party_contact,AG018,
K00000148,A000059,2025-05-17,phone,delivered,AG037,
K00000147,A000059,2025-05-29,sms,delivered,AG043,
K00000152,A000060,2026-01-13,email,right_party_contact,AG020,
K00000150,A000060,2026-01-19,sms,no_answer,AG026,
K00000151,A000060,2026-02-03,phone,hardship_discussed,AG020,
K00000153,A000060,2026-02-03,email,promise_to_pay,AG026,2026-02-17
K00000154,A000061,2025-10-28,email,delivered,AG005,
K00000155,A000062,2025-12-18,sms,promise_to_pay,AG005,2025-12-28
K00000157,A000063,2025-08-29,letter,dispute_raised,AG005,
K00000156,A000063,2025-09-17,email,no_answer,AG019,
K00000159,A000064,2025-02-22,sms,delivered,AG005,
K00000158,A000064,2025-03-13,sms,right_party_contact,AG022,
K00000160,A000066,2025-03-15,field_visit,promise_to_pay,AG016,2025-03-22
K00000161,A000066,2025-04-07,email,right_party_contact,AG021,
K00000164,A000067,2025-04-10,letter,no_answer,AG017,
K00000162,A000067,2025-05-02,phone,right_party_contact,AG022,
K00000163,A000067,2025-06-05,letter,delivered,AG010,
K00000165,A000068,2025-12-03,phone,no_answer,AG011,
K00000167,A000068,2025-12-08,phone,no_answer,AG008,
K00000166,A000068,2026-02-28,sms,no_answer,AG043,
K00000168,A000068,2026-03-08,phone,delivered,AG031,
K00000169,A000069,2026-04-21,sms,dispute_raised,AG023,
K00000170,A000070,2025-06-24,letter,no_answer,AG023,
K00000172,A000070,2025-07-15,sms,right_party_contact,AG003,
K00000171,A000070,2025-08-27,sms,dispute_raised,AG008,
K00000173,A000071,2025-03-19,email,delivered,AG021,
K00000174,A000071,2025-04-22,sms,hardship_discussed,AG028,
K00000175,A000072,2025-12-08,email,right_party_contact,AG039,
K00000176,A000072,2025-12-12,email,no_answer,AG035,
K00000178,A000074,2025-12-06,sms,promise_to_pay,AG026,2025-12-11
K00000177,A000074,2025-12-29,sms,no_answer,AG034,
K00000179,A000074,2025-12-29,letter,no_answer,AG009,
K00000180,A000074,2026-02-28,letter,dispute_raised,AG013,
K00000181,A000075,2025-08-02,field_visit,no_answer,AG035,
K00000182,A000075,2025-12-23,phone,no_answer,AG004,
K00000185,A000076,2025-03-08,email,delivered,AG039,
K00000186,A000076,2025-03-18,sms,right_party_contact,AG026,
K00000183,A000076,2025-03-28,sms,delivered,AG041,
K00000184,A000076,2025-07-02,email,promise_to_pay,AG045,2025-07-07
K00000188,A000077,2025-03-04,sms,wrong_number,AG020,
K00000187,A000077,2025-03-25,email,delivered,AG027,
K00000189,A000078,2026-04-27,letter,delivered,AG038,
K00000192,A000079,2026-01-08,letter,no_answer,AG011,
K00000191,A000079,2026-01-10,email,hardship_discussed,AG014,
K00000190,A000079,2026-02-05,letter,right_party_contact,AG004,
K00000194,A000080,2025-04-21,sms,right_party_contact,AG025,
K00000193,A000080,2025-06-04,email,hardship_discussed,AG043,
K00000195,A000083,2025-12-11,sms,hardship_discussed,AG009,
K00000198,A000084,2025-07-05,sms,delivered,AG036,
K00000197,A000084,2025-08-23,sms,delivered,AG030,
K00000196,A000084,2025-12-21,email,no_answer,AG027,
K00000200,A000085,2024-12-26,sms,promise_to_pay,AG017,2024-12-29
K00000202,A000085,2025-02-19,sms,promise_to_pay,AG017,2025-03-05
K00000199,A000085,2025-04-02,phone,promise_to_pay,AG025,2025-04-09
K00000201,A000085,2025-06-15,sms,delivered,AG040,
K00000203,A000086,2025-10-16,phone,no_answer,AG019,
K00000205,A000086,2025-10-27,phone,no_answer,AG042,
K00000204,A000086,2025-10-29,sms,promise_to_pay,AG003,2025-11-12
K00000207,A000087,2026-01-27,sms,right_party_contact,AG044,
K00000209,A000087,2026-01-27,sms,hardship_discussed,AG015,
K00000206,A000087,2026-02-17,email,promise_to_pay,AG043,2026-02-27
K00000208,A000087,2026-02-26,email,right_party_contact,AG037,
K00000210,A000088,2025-08-21,sms,promise_to_pay,AG036,2025-08-31
K00000211,A000089,2025-02-05,email,delivered,AG002,
K00000212,A000089,2025-04-10,sms,delivered,AG026,
K00000213,A000091,2025-09-03,sms,promise_to_pay,AG038,2025-09-13
K00000214,A000091,2025-10-19,email,no_answer,AG029,
K00000215,A000092,2026-03-08,email,no_answer,AG026,
K00000217,A000093,2026-03-09,sms,promise_to_pay,AG036,2026-03-12
K00000216,A000093,2026-04-24,sms,delivered,AG011,
K00000221,A000094,2025-01-03,phone,right_party_contact,AG011,
K00000222,A000094,2025-01-03,email,no_answer,AG030,
K00000218,A000094,2025-01-15,letter,no_answer,AG039,
K00000220,A000094,2025-02-06,sms,promise_to_pay,AG025,2025-02-13
K00000219,A000094,2025-02-10,sms,right_party_contact,AG031,
K00000225,A000095,2025-11-20,sms,dispute_raised,AG004,
K00000226,A000095,2025-11-20,letter,dispute_raised,AG002,
K00000224,A000095,2026-01-14,email,hardship_discussed,AG033,
K00000223,A000095,2026-01-26,sms,promise_to_pay,AG022,2026-01-29
K00000227,A000096,2024-12-19,sms,delivered,AG033,
K00000231,A000097,2026-01-06,phone,promise_to_pay,AG001,2026-01-16
K00000229,A000097,2026-01-31,field_visit,dispute_raised,AG003,
K00000230,A000097,2026-02-15,sms,no_answer,AG035,
