payment_id,account_id,payment_date,payment_amount,payment_channel,payment_type,source_system,reversal_of_payment_id
P00000001,A000004,2025-11-20,291.76,bank_transfer,payment,bank_file,
P00000002,A000008,2026-02-22,97.26,card,payment,agency_file,
P00000003,A000009,2026-04-27,292.04,cash,payment,customer_portal,
P00000004,A000010,2025-02-06,1055.54,direct_debit,payment,customer_portal,
P00000005,A000010,2025-03-06,4040.0,card,payment,bank_file,
P00000006,A000011,2025-05-31,51.31,cash,payment,bank_file,
P00000007,A000011,2025-07-04,59.53,bank_transfer,payment,customer_portal,
P00000008,A000011,2025-07-18,72.31,bank_transfer,payment,agency_file,
P00000009,A000011,2025-08-11,33.63,bank_transfer,payment,agency_file,
P00000010,A000012,2025-10-21,26.72,bank_transfer,payment,customer_portal,
P00000011,A000012,2025-11-06,46.76,card,payment,customer_portal,
P00000012,A000012,2025-12-24,57.76,card,payment,customer_portal,
P00000013,A000014,2026-01-28,250.63,card,payment,bank_file,
P00000014,A000014,2026-02-15,369.46,card,payment,manual_adjustment,
P00000015,A000014,2026-03-31,183.39,direct_debit,payment,customer_portal,
P00000016,A000014,2026-04-29,519.63,card,payment,customer_portal,
P00000017,A000018,2025-07-04,323.68,card,payment,customer_portal,
P00000018,A000018,2025-08-17,490.04,bpay,payment,bank_file,
P00000019,A000019,2026-03-03,269.07,direct_debit,payment,bank_file,
P00000020,A000019,2026-03-08,128.11,bpay,payment,agency_file,
P00000021,A000019,2026-04-11,277.37,bpay,payment,customer_portal,
P00000022,A000020,2026-03-07,237.75,bank_transfer,payment,manual_adjustment,
P00000023,A000020,2026-03-09,534.57,direct_debit,payment,agency_file,
P00000024,A000021,2025-12-18,101.83,bpay,payment,bank_file,
P00000025,A000021,2025-12-22,61.22,bank_transfer,payment,customer_portal,
P00000026,A000021,2026-02-09,224.31,bank_transfer,payment,agency_file,
P00000027,A000023,2025-04-13,1711.07,bpay,payment,agency_file,
P00000028,A000027,2025-11-02,68.82,card,payment,agency_file,
P00000029,A000029,2025-06-19,560.57,cash,payment,customer_portal,
P00000030,A000029,2025-08-05,751.27,cash,payment,agency_file,
P00000031,A000029,2025-08-30,1095.76,bank_transfer,payment,customer_portal,
P00000032,A000031,2025-11-16,161.3,direct_debit,payment,customer_portal,
P00000033,A000032,2025-05-28,126.12,bank_transfer,payment,agency_file,
P00000034,A000032,2025-06-27,282.16,card,payment,direct_debit,
P00000035,A000032,2025-07-05,186.01,bank_transfer,payment,agency_file,
P00000036,A000032,2025-08-18,204.68,card,payment,customer_portal,
P00000037,A000033,2026-02-06,380.7,card,payment,bank_file,
P00000038,A000033,2026-02-11,221.3,card,payment,customer_portal,
P00000039,A000033,2026-03-05,340.9,cash,payment,manual_adjustment,
P00000040,A000033,2026-04-07,93.77,bank_transfer,payment,agency_file,
P00000041,A000034,2025-05-20,288.2,bank_transfer,payment,customer_portal,
P00000042,A000034,2025-06-14,861.41,bank_transfer,payment,agency_file,
P00000043,A000035,2025-10-04,1273.74,bank_transfer,payment,customer_portal,
P00000044,A000035,2025-11-01,2489.71,bpay,payment,agency_file,
P00000045,A000042,2025-10-04,132.35,card,payment,agency_file,
P00000046,A000042,2025-10-22,454.95,bank_transfer,payment,direct_debit,
P00000047,A000043,2025-07-14,124.16,direct_debit,payment,agency_file,
P00000048,A000043,2025-08-14,352.93,direct_debit,payment,agency_file,
P00000049,A000043,2025-09-26,440.32,bank_transfer,payment,direct_debit,
P00000050,A000044,2025-01-28,1516.52,card,payment,bank_file,
P00000051,A000045,2025-01-27,264.23,bank_transfer,payment,customer_portal,
P00000052,A000048,2026-04-01,32.63,bank_transfer,payment,bank_file,
P00000053,A000049,2025-04-10,2296.01,bank_transfer,payment,customer_portal,
P00000054,A000053,2025-11-03,231.28,direct_debit,payment,bank_file,
P00000055,A000056,2026-01-19,170.73,card,payment,bank_file,
P00000056,A000056,2026-02-28,289.92,bpay,payment,manual_adjustment,
P00000057,A000056,2026-03-23,520.26,direct_debit,payment,customer_portal,
P00000058,A000058,2026-03-29,323.28,direct_debit,payment,agency_file,
P00000059,A000060,2026-01-02,10.08,card,payment,manual_adjustment,
P00000060,A000060,2026-01-29,17.0,card,payment,bank_file,
P00000061,A000060,2026-02-09,24.88,direct_debit,payment,agency_file,
P00000062,A000062,2025-12-22,69.21,bank_transfer,payment,agency_file,
P00000063,A000062,2026-01-02,34.73,direct_debit,payment,customer_portal,
P00000064,A000062,2026-01-28,99.19,bank_transfer,payment,agency_file,
P00000065,A000065,2026-01-05,94.68,card,payment,agency_file,
P00000066,A000065,2026-02-05,436.88,bpay,payment,customer_portal,
P00000067,A000066,2025-03-15,554.79,bpay,payment,direct_debit,
P00000068,A000066,2025-04-05,1349.92,bank_transfer,payment,customer_portal,
P00000069,A000067,2025-06-12,13.96,card,payment,bank_file,
P00000070,A000067,2025-07-12,52.5,bpay,payment,customer_portal,
P00000071,A000068,2026-02-28,28.16,bank_transfer,payment,agency_file,
P00000072,A000068,2026-04-15,35.94,bank_transfer,payment,direct_debit,
P00000073,A000072,2025-11-24,245.78,card,payment,customer_portal,
P00000074,A000072,2025-12-26,152.72,bank_transfer,payment,customer_portal,
P00000075,A000072,2026-02-02,224.91,bpay,payment,agency_file,
